"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Nigeria","NGA","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13233.7740276601","13649.6201356631","12381.5751872241","11296.1356840666","10658.3301578504","10939.5989930783","10825.4881832526","10588.4646627002","9866.39209982297","10259.6673404787","10472.5591174361","10285.4014913954","11127.3056019296","10948.6879955676","11197.3029871582","11034.5059796223","10833.8858007064","10589.200971241","10804.5262498772","11266.2742327637","12031.6095668087","11173.9456339976","10348.8272209635","10408.6349306262","9682.64665312587","8442.14967842994","8180.62586498135","7897.48891394037","7643.10230190228","6466.85742489051","5858.89434397273","4845.71377294873","4547.89014417187","",
"Nigeria","NGA","Agriculture, forestry, and fishing, value added (constant LCU)","NV.AGR.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","2364373148700","2425960886300","2409081920800","2303505415700","2731062466700","2986835381900","2891672333200","3174567615700","3325947091200","3464716264900","3590837435900","3674792832000","3743665812400","3839675449800","3977381935700","4133548212200","4305679634400","4475241380600","4703643681700","4840971196100","5024542107300","7817084495100","8364832102800","8888573399700","9516991539900","10222474982000","10958469132000","11645370979000","12330325548000","13048892800000","13429378768000","14329705622000","14750523211000","15380389335000","15952220141000","16607337335000","17179495287000","17544147740000","17958583708000","18348175935000","18738414419000","19091072816000","19306490277000","19535878834800",
"Nigeria","NGA","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","20132438754.4274","19277704745.2107","14555238879.5107","13453781566.2384","13442122771.8885","9876247647.02628","10826036145.1023","11603666169.5768","9361914097.1574","11648098317.6753","12432347682.2194","10578825840.961","13324416193.9404","20239677009.0909","35915528050","48659760390.9091","55066452836.3636","60956404440.9091","15394567925.3976","14773113832.8192","18003542236.36","35136811598.8023","35430109480.0395","36969352256.8048","45831191839.7319","58981822707.2446","68626296199.041","85818756596.0955","78911484157.8309","87687604312.1636","92155467756.5104","101423872579.789","107969163747.065","114780797142.913","101720740023.409","84907969885.407","78330102219.432","89424636578.9172","103949205785.667","104347102010.976","102965771373.054","113105801713.97","82683853693.6956","38215186762.8448",
"Nigeria","NGA","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Imports of goods and services (constant LCU)","NE.IMP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","710201795.919282","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Gross capital formation (constant 2015 US$)","NE.GDI.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Changes in inventories (current LCU)","NE.GDI.STKB.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Gross fixed capital formation (annual % growth)","NE.GDI.FTOT.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Gross fixed capital formation, private sector (% of GDP)","NE.GDI.FPRV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Exports of goods and services (annual % growth)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Gross national expenditure (% of GDP)","NE.DAB.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Gross national expenditure (current US$)","NE.DAB.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Final consumption expenditure (annual % growth)","NE.CON.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Households and NPISHs final consumption expenditure: linked series (current LCU)","NE.CON.PRVT.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","General government final consumption expenditure (constant LCU)","NE.CON.GOVT.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Military expenditure (current LCU)","MS.MIL.XPND.CN","16700000","20200000","27600000","32500000","38800000","47100000","39800000","171400000","263600000","488900000","473100000","455700000","594800000","671200000","851600000","1864100000","1657000000","2023200000","1920200000","1854800000","1656700000","1319100000","1112500000","1178900000","928200000","975700000","906900000","810000000","1230000000","1257200000","2229000000","2415000000","3004000000","6382000000","7032000000","14000000000","15350000000","17920000000","25162000000","45400000000","37490000000","63472000000","108148000000","75913000000","85047000000","88506000000","99853000000","122200000000","191515000000","224021000000","299108000000","369045000000","364843000000","380500000000","373815000000","397497000000","444098000000","494838000000","654399000000","668732000000","974910000000","1783120000000","1315710000000","1975400000000","",
"Nigeria","NGA","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","1000000","8000000","9000000","2000000","56000000","159000000","47000000","50000000","39000000","14000000","12000000","113000000","7000000","24000000","424000000","104000000","90000000","142000000","108000000","474000000","331000000","642000000","41000000","359000000","569000000","211000000","115000000","62000000","15000000","18000000","4000000","59000000","41000000","95000000","2000000","15000000","1000000","","","36000000","9000000","6000000","66000000","11000000","","16000000","62000000","33000000","65000000","223000000","63000000","28000000","30000000","232000000","188000000","61000000","41000000","49000000","18000000","85000000","283000000","54000000","93000000","67000000",
"Nigeria","NGA","Logistics performance index: Competence and quality of logistics services (1=low to 5=high)","LP.LPI.LOGS.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.38","","","2.45","","2.52","","2.702476","","2.735254","","2.4","","","","2.3","","",
"Nigeria","NGA","Lead time to import, median case (days)","LP.IMP.DURS.MD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.2","","","4.09","","4","","5","","3","","2","","","","","","",
"Nigeria","NGA","Individuals using the Internet, female (% of female population)","IT.NET.USER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","","53594","67776","81958","99108","","14279","15045","15740","15688","107931","110834","73965","83360","65313","65917","96806","116867","",
"Nigeria","NGA","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9049","12800","13000","14000","15000","20000","25000","30000","266461","1569050","3149470","9147210","18587000","32322200","40395600","62988500","74518300","87297800","95167300","112778000","127246000","138960000","150830000","154342000","144920000","172731000","184592000","204229000","195128000","222225000","224413000","",
"Nigeria","NGA","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","479","","","","","593","973","493.825","173.632","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","9400","11700","14500","16900","17200","19200","24900","30800","33500","35400","39100","37800","26700","28600","27700","37500","32600","30100","19700","15900","17400","14900","12500","11900","11200","6600","5600","6400","7500","8400","12761","10667","13154","8987","8254","10227","16045","16936","18005","16851","61789","68014.2763449768","65631.5070737067","59182","61512.4529493388","61474","53971","53696","75594.726523888","68734","51519.349","74453.146","","","",
"Nigeria","NGA","Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100)","IQ.SPI.PIL2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.9","61.0333333333333","62.4","62.4","67.1333333333333","67.1333333333333","63.8333333333333","63.8333333333333","",
"Nigeria","NGA","CPIA trade rating (1=low to 6=high)","IQ.CPA.TRAD.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","3","3","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3","3","3","3","3.5","3.5",
"Nigeria","NGA","CPIA public sector management and institutions cluster average (1=low to 6=high)","IQ.CPA.PUBS.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","2.8","2.9","2.9","2.9","2.9","2.9","2.9","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.7","2.7",
"Nigeria","NGA","CPIA quality of public administration rating (1=low to 6=high)","IQ.CPA.PADM.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","3","3","3","3","3","3","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5",
"Nigeria","NGA","Industry (including construction), value added (constant LCU)","NV.IND.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","11753403063000","10189095728000","8255760473500","8392245887300","8768297206500","8347534251200","8799375766600","9514805136100","9442827316500","11148100575000","10910564311000","11578982177000","10790306040000","10151696681000","9845973745800","10402187646000","10599698951000","10641263520000","10201812073000","10962842990000","11576315219000","11725424678000","13151225901000","13382861830000","13609760023000","13342470029000","13085266627000","12817786138000","13138946250000","13826433899000","14986622000000","15350451931000","15682464550000","16742153432000","16366656929000","14918146529000","15238280046000","15523427555000","15882346432000","14953715193000","14883773638000","14195583191000","14298465812500","14648105000000",
"Nigeria","NGA","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","64548444323.4947","49696885355.364","33127270362.0795","22299505263.1812","24680219722.8111","17993190819.3638","17323517772.8741","16192782090.6088","15573478537.3356","19134251719.4669","22004430880.2018","19630936430.3388","18816835854.9184","25179864018.1818","51492776768.1818","69547576268.1818","70797455581.8182","62690778354.5455","17367179006.283","23395862360.3154","20799410715.8951","21901251042.9318","27234657452.5051","38543661707.7097","49541882382.8399","61406061928.412","67741818006.0209","83899011864.5199","62650322719.0599","92912623573.9937","117202057472.823","125610954976.579","133890235362.276","141499599245.948","99398039146.1414","73537418563.7832","83848100238.6014","108527454572.916","129934927726.086","121968713985.747","138454974244.536","146923611465.028","118557187057.812","55667439728.2397",
"Nigeria","NGA","Manufacturing, value added (constant 2015 US$)","NV.IND.MANF.KD","","","","","","","","","","","","","","","","","","","","","","41207687487.2033","35179868843.5571","24967289361.9456","23166191072.3014","24374423052.2121","22142802092.6683","25976441549.9926","29908017510.2257","25185816737.2664","26999032832.7459","29397032864.7777","32942445901.8068","27174068662.852","23745263458.6557","20455828358.808","21106626791.241","21538698537.5816","20524564681.9142","21000246734.7757","21035791493.069","21528777638.7694","25346129757.643","22606710801.6838","22366539477.8949","22881632058.5613","23067618906.5551","23089528013.1865","23781567563.662","24639619053.9994","25256074168.1513","29755546543.5517","33760422762.8134","41119215813.9453","47173512265.3336","46484711768.2576","44477671318.9008","44383555677.5569","45312975462.8112","45660495430.3778","44402577869.1631","45889338256.73","47012419690.6561","47672766948.3566","48332650369.4695",
"Nigeria","NGA","Financial intermediary services indirectly Measured (FISIM) (constant LCU)","NV.FSM.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Agriculture, forestry, and fishing, value added (annual % growth)","NV.AGR.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","2.60482308530119","-0.695764123622922","-4.38243731723911","18.561148069629","9.3653264368228","-3.18608281114791","9.78310299033573","4.76850689055557","4.17232054193417","3.64015871307257","2.33804502706366","1.87420035764345","2.56458888723429","3.5864095208144","3.92635857015114","4.16425340563251","3.9380948095928","5.10368674391766","2.91959858554523","3.79202651211577","55.5780472760454","7.0070575294836","6.26122904158095","7.06995500786674","7.41288293829263","7.19976474675612","6.26822815053762","5.8817754302132","5.82764217540512","2.91584867644863","6.70415861786049","2.93667992979513","4.27012733711226","3.71792152685451","4.10674619714051","3.44521183895129","2.12260282917586","2.36224622672951","2.16939282815743","2.12685165752964","1.88200767212416","1.12836749970103","1.18814219730695",
"Nigeria","NGA","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","998.039990593632","997.009317932238","988.487206450116","985.787549545801","994.577037780661","1010.27610534672","1029.53204121456","1049.39967543347","1082.83583131987","1102.41890998496","1131.57654772518","1735.73273078809","1851.96014666514","1976.18373257189","2096.98259967173","2233.86391835413","2373.69719533401","2499.19920637904","2625.02635956312","2769.88759248512","2830.29826838706","3020.56540602155","3120.79135848669","3188.46931104284","3225.42175680951","3256.40387541191","3268.19790951321","3247.64665678656","3237.50537643373","3276.04407673981","3323.96576463283","3443.52305204954","3359.77277399332","",
"Nigeria","NGA","External balance on goods and services (current LCU)","NE.RSB.GNFS.CN","-230293700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Imports of goods and services (annual % growth)","NE.IMP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Gross capital formation (current LCU)","NE.GDI.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
